sc_id,sc_set_id,sc_key,sc_type,sc_content,sc_updated,sc_default,sc_tab_key,sc_show_in_vse,sc_title,sc_order,sc_condition
1067,7,moderated_light,Color,"[{""key"":"""",""value"":""""}]",0,#fcf7f9,frontendcolors,FALSE,themesetting_moderated_light,18,
1068,7,moderated_text,Color,"[{""key"":"""",""value"":""""}]",0,#880e4f,frontendcolors,FALSE,themesetting_moderated_text,19,
1069,7,moderated_text_light,Color,"[{""key"":"""",""value"":""""}]",0,#a4768f,frontendcolors,FALSE,themesetting_moderated_text_light,20,
1070,7,navigationheight,Number,[],0,42,z10_header,FALSE,f_navigationheight,8,
1071,7,normal_button,Color,[],0,#478f79,buttoncolors,FALSE,themesetting_normal_button,5,
1072,7,normal_button_font,Color,[],0,#ffffff,buttoncolors,FALSE,themesetting_normal_button_font,6,
1073,7,notification_bubble,Color,"[{""key"":"""",""value"":""""}]",0,#b63f3f,frontendcolors,FALSE,themesetting_notification_bubble,27,
1074,7,page_background,Color,[],0,#fcfcfc,frontendcolors,FALSE,themesetting_page_background,1,
1075,7,pagination_active,Color,[],0,#3e4148,buttoncolors,FALSE,themesetting_pagination_active,14,
1076,7,picker_c1,Color,[],0,#333333,z20_picker,FALSE,f_picker_c1,4,
1077,7,picker_c2,Color,[],0,#555555,z20_picker,FALSE,f_picker_c2,6,
1078,7,picker_c3,Color,[],0,#777777,z20_picker,FALSE,f_picker_c3,8,
1079,7,picker_c4,Color,[],0,#999999,z20_picker,FALSE,f_picker_c4,10,
1080,7,picker_c5,Color,[],0,#bbbbbb,z20_picker,FALSE,f_picker_c5,12,
1081,7,picker_c6,Color,[],0,#dddddd,z20_picker,FALSE,f_picker_c6,14,
1082,7,picker_cookie,Text,[],0,ipsfocus,z80_other,FALSE,f_picker_cookie,5,
1083,7,picker_i1,Upload,[],0,,z20_picker,FALSE,f_picker_i1,5,
1084,7,picker_i2,Upload,[],0,,z20_picker,FALSE,f_picker_i2,7,
1085,7,picker_i3,Upload,[],0,,z20_picker,FALSE,f_picker_i3,9,
1086,7,picker_i4,Upload,[],0,,z20_picker,FALSE,f_picker_i4,11,
1087,7,picker_i5,Upload,[],0,,z20_picker,FALSE,f_picker_i5,13,
1088,7,picker_i6,Upload,[],0,,z20_picker,FALSE,f_picker_i6,15,
1089,7,poll_bar,Color,[],0,#3d6594,frontendcolors,FALSE,themesetting_poll_bar,21,
1090,7,post_header_height,Number,[],0,42,z80_other,FALSE,f_post_header_height,4,
1091,7,post_highlight,Color,[],0,#fffefa,frontendcolors,FALSE,themesetting_post_highlight,30,
1092,7,post_highlight_border,Color,[],0,#d0ad71,frontendcolors,FALSE,themesettings_post_highlight_border,31,
1093,7,prefix,Color,[],0,#b63f3f,frontendcolors,FALSE,themesetting_prefix,9,
1094,7,price,Color,"[{""key"":"""",""value"":""""}]",0,#b63f3f,textcolors,FALSE,themesetting_price,13,
1095,7,primary_button,Color,[],0,#3e4148,buttoncolors,FALSE,themesetting_primary_button,1,
1096,7,primary_button_font,Color,[],0,#ffffff,buttoncolors,FALSE,themesetting_primary_button_font,2,
1097,7,profile_header,Color,[],0,#353c41,frontendcolors,FALSE,themesetting_profile_header,7,
1098,7,rating_hover,Color,[],0,#3d6594,frontendcolors,FALSE,themesetting_rating_hover,22,
1099,7,rating_on,Color,[],0,#ff9800,frontendcolors,FALSE,themesetting_rating_on,23,
1100,7,recaptcha_theme,other,"return new \IPS\Helpers\Form\Radio( ""core_theme_setting_title_{$row['sc_id']}"", $value, FALSE, array( 'options' => array(
			'clean'			=> ""<img src='"" . $theme->resource( 'recaptcha/clean.png', 'core' ) . ""' alt='clean'>"",
			'red'			=> ""<img src='"" . $theme->resource( 'recaptcha/red.png', 'core' ) . ""' alt='clean'>"",
			'white'			=> ""<img src='"" . $theme->resource( 'recaptcha/white.png', 'core' ) . ""' alt='clean'>"",
			'blackglass'	=> ""<img src='"" . $theme->resource( 'recaptcha/blackglass.png', 'core' ) . ""' alt='clean'>"",
			), 'parse' => 'raw' ), NULL, NULL, NULL, 'theme_setting_' . $row['sc_key'] );",0,white,custom,FALSE,recaptcha_theme,14,return \IPS\Settings::i()->bot_antispam_type === 'recaptcha';
1101,7,recaptcha2_theme,other,"return new \IPS\Helpers\Form\Radio( ""core_theme_setting_title_{$row['sc_id']}"", $value, FALSE, array( 'options' => array(
			'light'			=> ""<img src='"" . $theme->resource( 'recaptcha2/light.png', 'core' ) . ""' alt='light'>"",
			'dark'			=> ""<img src='"" . $theme->resource( 'recaptcha2/dark.png', 'core' ) . ""' alt='dark'>"",
			), 'parse' => 'raw' ), NULL, NULL, NULL, 'theme_setting_' . $row['sc_key'] );",0,light,custom,FALSE,recaptcha2_theme,13,return \IPS\Settings::i()->bot_antispam_type === 'recaptcha2';
1102,7,responsive,YesNo,"[{""key"":"""",""value"":""""},{""key"":"""",""value"":""""}]",0,1,custom,FALSE,themesetting_responsive,1,
1103,7,rounded_photos,YesNo,"[{""key"":"""",""value"":""""},{""key"":"""",""value"":""""}]",0,1,custom,FALSE,themesetting_rounded_photos,2,
1104,7,searchheight,Number,[],0,36,z10_header,FALSE,f_searchheight,9,
1105,7,secondary_title,Color,"[{""key"":"""",""value"":""""}]",0,#ebedf0,textcolors,FALSE,themesetting_secondary_title,10,
1106,7,secondary_title_font,Color,"[{""key"":"""",""value"":""""}]",0,#828e99,textcolors,FALSE,themesetting_secondary_title_font,11,
