url,app,lang_key,restriction,keyword
app=core&module=settings&controller=login&do=settings&searchResult=ipb_bruteforce_attempts,core,ipb_bruteforce_attempts,login_manage,bruteforce
app=core&module=settings&controller=login&do=settings&searchResult=ipb_bruteforce_attempts,core,ipb_bruteforce_attempts,login_manage,failed
app=core&module=settings&controller=mfa,core,menu__core_settings_mfa,mfa_manage,2 factor authentication
app=core&module=settings&controller=login&do=settings&searchResult=ipb_bruteforce_attempts,core,ipb_bruteforce_attempts,login_manage,logins
app=core&module=settings&controller=login&do=settings&searchResult=ipb_bruteforce_attempts,core,ipb_bruteforce_attempts,login_manage,lock
app=core&module=settings&controller=login&do=settings&searchResult=ipb_bruteforce_attempts,core,ipb_bruteforce_attempts,login_manage,brute
app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new signin email
app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new sign in email
app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new log in email
app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new login email
app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new authorized device email
app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new browser email
app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new device email
app=core&module=settings&controller=login&do=settings&searchResult=form_new_device_email,core,new_device_email,login_manage,new authorised device email
app=core&module=settings&controller=login&do=settings&searchResult=form_logins_over_https,core,logins_over_https,login_manage,ssl
app=core&module=settings&controller=login&do=settings&searchResult=disable_anonymous,core,disable_anonymous,login_manage,anonymous login
app=core&module=settings&controller=login&do=settings&searchResult=form_logins_over_https,core,logins_over_https,login_manage,secure logins
app=core&module=settings&controller=login&do=settings&searchResult=form_logins_over_https,core,logins_over_https,login_manage,https
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,ldap
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,locking
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,login
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,microsoft
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,twitter
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,windows
app=core&module=settings&controller=login&do=settings&searchResult=disable_anonymous,core,disable_anonymous,login_manage,anonymous
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,https
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,ips connect
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,facebook
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,google
app=core&module=settings&controller=login,core,menu__core_settings_login,login_manage,accounts
app=core&module=settings&controller=general&searchResult=form_upgrade_email,core,upgrade_email,general_manage,update
app=core&module=settings&controller=licensekey,core,menu__core_settings_licensekey,licensekey_manage,license key
app=core&module=settings&controller=general&searchResult=form_upgrade_email,core,upgrade_email,general_manage,upgrade
app=core&module=settings&controller=general&searchResult=form_site_social_profiles,core,site_social_profiles,general_manage,facebook
app=core&module=settings&controller=general&searchResult=form_site_social_profiles,core,site_social_profiles,general_manage,social profile
app=core&module=settings&controller=general&searchResult=form_site_social_profiles,core,site_social_profiles,general_manage,twitter
app=core&module=settings&controller=general&searchResult=form_site_online,core,site_online,general_manage,online
app=core&module=settings&controller=general&searchResult=form_site_online,core,site_online,general_manage,offline
app=core&module=settings&controller=general&searchResult=form_show_home_link,core,show_home_link,general_manage,navigation
app=core&module=settings&controller=general&searchResult=form_site_address,core,site_address,general_manage,mail
app=core&module=settings&controller=general&searchResult=form_site_address,core,site_address,general_manage,address
app=core&module=settings&controller=general&searchResult=form_show_home_link,core,show_home_link,general_manage,breadcrumb
app=core&module=settings&controller=general&searchResult=form_diagnostics_reporting,core,diagnostics_reporting,general_manage,reports
app=core&module=settings&controller=general&searchResult=form_diagnostics_reporting,core,diagnostics_reporting,general_manage,diagnostics
app=core&module=settings&controller=general&searchResult=form_copyright_line,core,copyright_line,general_manage,license
app=core&module=settings&controller=general&searchResult=form_copyright_line,core,copyright_line,general_manage,copyright
app=core&module=settings&controller=general&searchResult=form_board_name,core,board_name,general_manage,website name
app=core&module=settings&controller=general&searchResult=form_board_name,core,board_name,general_manage,site name
app=core&module=settings&controller=general&searchResult=form_board_name,core,board_name,general_manage,community name
app=core&module=settings&controller=email&searchResult=settings_form_mail_method,core,mail_method,email_manage,smtp
app=core&module=settings&controller=email&searchResult=settings_form_mail_method,core,mail_method,email_manage,mail
app=core&module=settings&controller=email&searchResult=settings_form_email_logo,core,email_logo,email_manage,email logo
app=core&module=settings&controller=email&searchResult=settings_form_email_out,core,email_out,email_manage,email
app=core&module=settings&controller=email&searchResult=settings_form_email_out,core,email_out,email_manage,outgoing email
app=core&module=settings&controller=email&searchResult=settings_form_email_out,core,email_out,email_manage,site email
app=core&module=settings&controller=email&searchResult=settings_form_mail_method,core,mail_method,email_manage,email
app=core&module=settings&controller=email&searchResult=settings_form_email_in,core,email_in,email_manage,incoming email
app=core&module=settings&controller=email&do=errorLog,core,emailerrorlogs,email_errorlog,logs
app=core&module=settings&controller=email&searchResult=settings_form_email_color,core,email_color,email_manage,email color
app=core&module=settings&controller=email&searchResult=settings_form_email_color,core,email_color,email_manage,email colour
app=core&module=settings&controller=email,core,menu__core_settings_email,email_manage,smtp
app=core&module=settings&controller=email&do=errorLog,core,emailerrorlogs,email_errorlog,email error logs
app=core&module=settings&controller=email&searchResult=settings_form_email_in,core,email_in,email_manage,contact us email
app=core&module=settings&controller=email&searchResult=settings_form_email_in,core,email_in,email_manage,contact email
app=core&module=settings&controller=email&do=errorLog,core,emailerrorlogs,email_errorlog,email logs
app=core&module=settings&controller=email,core,menu__core_settings_email,email_manage,mail
app=core&module=settings&controller=email,core,menu__core_settings_email,email_manage,email logo
app=core&module=settings&controller=email,core,menu__core_settings_email,email_manage,address
app=core&module=settings&controller=email,core,menu__core_settings_email,email_manage,email
app=core&module=settings&controller=contactus,core,menu__core_settings_contactus,contactus_manage,contact us
