index_author_id,index_item_id,index_class
7846,47,IPS\forums\Topic
9304,47,IPS\forums\Topic
9679,47,IPS\forums\Topic
13626,47,IPS\forums\Topic
1,48,IPS\calendar\Event
143,48,IPS\core\Statuses\Status
9,48,IPS\forums\Topic
1,49,IPS\calendar\Event
161,49,IPS\core\Statuses\Status
0,49,IPS\forums\Topic
1,49,IPS\forums\Topic
2,49,IPS\forums\Topic
3,49,IPS\forums\Topic
4,49,IPS\forums\Topic
5,49,IPS\forums\Topic
7,49,IPS\forums\Topic
9,49,IPS\forums\Topic
11,49,IPS\forums\Topic
13,49,IPS\forums\Topic
14,49,IPS\forums\Topic
16,49,IPS\forums\Topic
19,49,IPS\forums\Topic
23,49,IPS\forums\Topic
25,49,IPS\forums\Topic
28,49,IPS\forums\Topic
29,49,IPS\forums\Topic
35,49,IPS\forums\Topic
40,49,IPS\forums\Topic
44,49,IPS\forums\Topic
49,49,IPS\forums\Topic
50,49,IPS\forums\Topic
53,49,IPS\forums\Topic
54,49,IPS\forums\Topic
56,49,IPS\forums\Topic
65,49,IPS\forums\Topic
67,49,IPS\forums\Topic
68,49,IPS\forums\Topic
72,49,IPS\forums\Topic
85,49,IPS\forums\Topic
91,49,IPS\forums\Topic
100,49,IPS\forums\Topic
114,49,IPS\forums\Topic
125,49,IPS\forums\Topic
129,49,IPS\forums\Topic
130,49,IPS\forums\Topic
132,49,IPS\forums\Topic
143,49,IPS\forums\Topic
161,49,IPS\forums\Topic
164,49,IPS\forums\Topic
168,49,IPS\forums\Topic
184,49,IPS\forums\Topic
188,49,IPS\forums\Topic
197,49,IPS\forums\Topic
208,49,IPS\forums\Topic
261,49,IPS\forums\Topic
274,49,IPS\forums\Topic
279,49,IPS\forums\Topic
281,49,IPS\forums\Topic
283,49,IPS\forums\Topic
288,49,IPS\forums\Topic
293,49,IPS\forums\Topic
